City,Desc,Latitude,Longitude,Image,Icon
1. Curitiba (PR),"Como já descrevemos acima, Curitiba se destaca por sua sustentabilidade e excelente infraestrutura, apresentando ótimos índices de saúde, educação e segurança.",-25.428360,-49.273250,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Curitiba_Centro.jpg/800px-Curitiba_Centro.jpg,https://cdn0.iconfinder.com/data/icons/line-design-basic-set-8/24/number-one-numeric-256.png
2. Vitória (ES),"A capital do Espírito Santo fica no litoral e se apresenta como uma excelente opção para quem quer ter a praia ao seu dispor, enquanto proporciona educação e segurança para toda a sua família.",-20.316839,-40.309921,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Convento_da_Penha_-_Vila_Velha_-_ES_-_panoramio_%2827%29.jpg/800px-Convento_da_Penha_-_Vila_Velha_-_ES_-_panoramio_%2827%29.jpg,https://cdn0.iconfinder.com/data/icons/line-design-basic-set-8/24/number-two-numeric-256.png
3. Belo Horizonte (MG),"A capital mineira possui vários pontos comerciais: do popular ao alto luxo. Mas, quem mora em Belo Horizonte sabe muito bem o quanto a boemia se apresenta como um destaque: conhecida como a “capital brasileira dos bares”, BH tem uma noite bem agitada, atraindo milhares de jovens.",-19.918180,-43.937050,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Belo_Horizonte_%282%29.jpg/800px-Belo_Horizonte_%282%29.jpg,https://cdn0.iconfinder.com/data/icons/line-design-basic-set-8/24/number-three-numeric-256.png
4. São Paulo (SP),"É uma cidade que possui boa cobertura de transportes públicos, diversos imóveis à venda e sem falar, claro, na grande geração de empregos, principalmente na área de serviços, que tem crescido bastante nos últimos anos.",-23.5506507,-46.6333824,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Museu_de_Arte_de_S%C3%A3o_Paulo_Assis_Chateaubriand_-_MASP.jpg/800px-Museu_de_Arte_de_S%C3%A3o_Paulo_Assis_Chateaubriand_-_MASP.jpg,https://cdn0.iconfinder.com/data/icons/line-design-basic-set-8/24/number-four-numeric-256.png
5. Florianópolis (SC),"Nos últimos anos, a cidade tem se destacado como importante polo tecnológico, atraindo diversos empreendedores. Inclusive, é bem comum se deparar com alguma startup que esteja resolvendo algum problema por meio da tecnologia no polo de Florianópolis.",-27.5973002,-48.5496098,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Ponte_Herc%C3%ADlio_Luz_a_noite%2C_Floripa_-_SC._-_panoramio.jpg/800px-Ponte_Herc%C3%ADlio_Luz_a_noite%2C_Floripa_-_SC._-_panoramio.jpg,https://cdn0.iconfinder.com/data/icons/line-design-basic-set-8/24/number-five-numeric-256.png
6. Palmas (TO),"Palmas é uma das cidades mais novas do país - assim como o próprio estado de Tocantins, que foi criado após a Constituição de 1988. Portanto, trata-se de uma cidade planejada, apresentando a melhor qualidade de vida entre todas as cidades da região Norte do país.",-10.1837852,-48.3336423,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Palmas_TO_-_27234519688.jpg/220px-Palmas_TO_-_27234519688.jpg,https://cdn0.iconfinder.com/data/icons/line-design-basic-set-8/24/number-six-numeric-256.png
7. Campo Grande (MS),"A capital do Mato Grosso do Sul se destaca por seus bons índices de saneamento. Com uma população de 906 mil habitantes, a cidade tem sua economia ancorada pelos ramos agropecuário e siderúrgico, mas com bom crescimento na área de serviços.",-20.4640173,-54.6162947,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Parque_das_na%C3%A7%C3%B5es_ind%C3%ADgenas_campo_grande_brasil_20180424_173119.jpg/1024px-Parque_das_na%C3%A7%C3%B5es_ind%C3%ADgenas_campo_grande_brasil_20180424_173119.jpg,https://cdn0.iconfinder.com/data/icons/line-design-basic-set-8/24/number-seven-numeric-256.png
8. Goiânia (GO),"Localizada a 209 km de Brasília, a capital de Goiás é o município com a maior área verde por habitante (94 metros quadrados por pessoa) e possui um projeto urbano alinhado à responsabilidade ambiental. Ainda assim, sua infraestrutura atende quem quer morar em um local com boas oportunidades e índices positivos de saúde, saneamento e segurança.",-16.6472292,-49.1608801,https://upload.wikimedia.org/wikipedia/commons/4/40/Vaca_Brava_Park_in_Goi%C3%A2nia%2C_Brazil.jpg,https://cdn0.iconfinder.com/data/icons/line-design-basic-set-8/24/number-eight-numeric-256.png
9. Rio de Janeiro (RJ),"No quesito segurança, o Rio apresentou uma grande melhora, principalmente entre 2018 e 2019, ano em que sua taxa de homicídios reduziu para 11,1 a cada 100 mil habitantes - quase 10 pontos a menos que a média nacional. Com diversos empreendimentos imobiliários, a cidade tem se desenvolvido mais, se apresentando como boa opção de moradia.",-22.91115379333496,-43.20442199707031,https://cdn.pixabay.com/photo/2017/01/08/19/30/rio-de-janeiro-1963744_960_720.jpg,https://cdn0.iconfinder.com/data/icons/line-design-basic-set-8/24/number-nine-numeric-256.png
10. Porto Alegre (RS),"A cidade do Rio Grande do Sul tem foco na agricultura e na construção civil, gerando boas oportunidades para seus moradores.",-30.0324999,-51.2303767,https://cdn.pixabay.com/photo/2020/07/06/21/39/porto-alegre-5378451_960_720.jpg,https://cdn1.iconfinder.com/data/icons/nav-and-menu/64/top_number_ten_navigation_user_interface_ui-256.png
